sample_id,timestamp_s,spindle_speed_rpm,feed_rate_mm_min,depth_of_cut_mm,cutting_speed_m_min,material_hardness_HRC,spindle_motor_current_A,spindle_torque_Nm,spindle_temp_C,coolant_temp_C,ambient_temp_C,vibration_x_g,vibration_y_g,vibration_z_g,surface_roughness_Ra,dimensional_error_mm,tool_wear_mm,cycle_time_s,tool_condition,fault_label
60,708.8,1286,142.4,1.44,0.32,33.6,12.78,17.16,60.4,29.8,25.1,0.1575,0.1329,0.085,1.13,0.011,0.0443,42.1,Good,0
61,722.1,1234,210.6,1.29,0.31,41.5,13.25,17.37,56.9,27.6,29.9,0.1262,0.1239,0.0827,0.787,0.013,0.0044,47.0,Good,0
62,730.9,1089,190.4,1.3,0.27,26.7,12.58,16.97,60.9,27.9,28.8,0.2628,0.1232,0.1032,1.157,0.0146,0.0076,44.7,Good,0
63,743.8,916,179.9,1.55,0.23,32.1,12.2,17.76,56.6,27.1,27.5,0.7838,0.4362,0.3612,4.82,0.097,0.0146,38.3,Good,2
64,757.6,1256,173.8,1.67,0.32,30.0,13.69,17.82,63.1,29.8,28.6,0.2185,0.0993,0.0821,1.039,0.0076,0.0,36.5,Good,0
65,771.3,1207,196.8,1.68,0.3,45.3,13.28,19.01,56.6,30.3,25.8,0.1338,0.0779,0.1177,0.875,0.0023,0.0131,39.0,Good,0
66,780.4,1347,193.5,1.4,0.34,41.1,13.91,20.12,63.2,29.7,24.8,0.1243,0.118,0.0399,1.404,0.0205,0.0337,40.7,Good,0
67,794.7,940,197.0,1.3,0.24,29.3,11.81,16.89,55.3,28.7,28.3,0.1303,0.1364,0.0725,1.223,0.0137,0.0002,41.8,Good,0
68,805.3,1168,210.1,1.22,0.29,44.2,12.49,18.47,55.3,31.4,24.7,0.1469,0.1658,0.1076,0.906,0.0092,0.0188,44.4,Good,0
69,820.0,1152,151.6,0.72,0.29,24.4,11.5,15.91,55.1,25.2,26.5,0.138,0.1375,0.0777,1.441,0.0057,0.0048,43.5,Good,0
70,829.5,1364,168.8,1.53,0.34,39.3,12.53,18.93,61.1,28.1,25.9,0.1587,0.1366,0.1152,1.563,0.0176,0.0462,38.2,Good,0
71,843.2,1281,207.8,0.99,0.32,41.4,13.39,17.63,65.2,24.3,27.7,0.0982,0.1916,0.1232,1.512,0.0048,0.0139,41.9,Good,0
72,853.2,1065,204.8,2.22,0.27,31.9,12.36,19.48,62.7,29.0,25.7,0.1833,0.0882,0.104,1.118,0.0153,0.0159,41.3,Good,0
73,864.2,1300,173.0,1.15,0.33,37.2,13.21,19.96,61.4,29.5,24.5,0.187,0.099,0.077,1.271,0.0158,0.0191,47.8,Good,0
74,877.1,1351,215.9,1.46,0.34,35.3,12.76,18.62,62.0,27.8,27.6,0.1022,0.1543,0.076,1.371,0.0104,0.0263,42.8,Good,0
75,891.4,1178,176.9,1.2,0.3,34.4,13.3,19.79,63.9,30.2,28.0,0.031,0.1145,0.0619,1.486,0.0049,0.0261,41.4,Good,0
76,902.7,922,116.4,1.5,0.23,36.4,11.26,17.18,59.5,24.5,26.0,0.2194,0.182,0.0449,1.029,0.012,0.0175,43.3,Good,0
77,915.2,1220,170.0,1.57,0.31,26.3,12.76,18.02,59.6,27.9,30.3,0.197,0.155,0.1016,1.307,0.0161,0.0117,36.3,Good,0
78,925.5,1302,200.3,2.01,0.33,26.6,13.5,15.48,59.6,27.9,26.2,0.1057,0.0754,0.0647,1.135,0.0001,0.0291,41.7,Good,0
79,934.0,1132,158.2,1.16,0.28,29.9,14.99,18.09,67.8,28.7,26.7,0.522,0.3188,0.365,4.308,0.0374,0.0068,37.8,Good,2
80,948.7,1328,212.1,1.52,0.33,32.9,13.09,16.7,53.7,25.6,29.4,0.1251,0.098,0.0552,1.514,0.0061,0.0455,45.2,Good,0
81,958.5,1385,212.0,1.1,0.35,35.0,13.44,18.76,58.8,30.8,29.7,0.0778,0.1454,0.0779,1.126,0.0141,0.0,42.4,Good,0
82,971.2,1274,158.3,1.42,0.32,37.4,12.89,18.04,56.7,29.0,27.9,0.2368,0.1742,0.1276,1.062,0.0164,0.0,42.6,Good,0
83,981.8,1263,144.1,1.37,0.32,32.8,12.06,19.52,63.6,26.6,25.3,0.1605,0.0867,0.1276,2.12,0.0111,0.0,38.4,Good,0
84,994.3,1362,251.1,0.7,0.34,42.2,14.13,17.23,66.3,31.1,24.6,0.1797,0.1768,0.0753,1.317,0.0077,0.0242,41.9,Good,0
85,1004.4,1027,172.6,1.97,0.26,51.6,12.24,19.64,58.5,30.7,27.8,0.1157,0.0931,0.0933,1.596,0.0151,0.0313,39.4,Good,0
86,1016.9,989,180.5,1.25,0.25,54.4,12.61,18.44,60.2,28.8,29.6,0.1495,0.1788,0.0841,1.248,0.0116,0.0,36.1,Good,0
87,1031.7,1298,201.1,1.18,0.33,32.4,13.76,16.87,58.7,28.8,26.1,0.1493,0.1664,0.0705,1.241,0.0088,0.0,46.7,Good,0
88,1043.2,1024,176.7,1.47,0.26,36.6,12.68,15.74,59.3,26.7,25.1,0.0857,0.1023,0.0337,1.213,0.0109,0.0376,45.1,Good,0
89,1056.3,1212,151.5,1.08,0.3,41.1,12.5,19.37,59.5,32.0,30.7,0.1101,0.164,0.0523,1.571,0.0116,0.0241,48.4,Good,0
90,1069.6,1256,214.0,1.38,0.32,35.0,12.72,17.25,63.7,31.2,32.2,0.1772,0.0863,0.0609,1.453,0.0066,0.0273,47.2,Good,0
91,1081.3,1168,155.5,1.65,0.29,28.0,12.04,17.99,60.2,31.4,26.3,0.1907,0.0682,0.0829,0.58,0.0088,0.0,38.1,Good,0
92,1090.5,1056,149.8,1.62,0.27,31.2,12.69,18.02,63.0,25.1,28.8,0.2691,0.0811,0.089,1.184,0.015,0.0138,41.1,Good,0
93,1099.5,1235,205.7,1.24,0.31,26.7,13.79,16.67,55.7,27.0,24.4,0.1933,0.1481,0.07,1.376,0.0053,0.0113,41.4,Good,0
94,1114.3,1163,203.7,1.67,0.29,47.1,13.43,18.73,57.0,31.7,26.5,0.2667,0.0997,0.0838,1.437,0.0101,0.0087,44.5,Good,0
95,1127.3,1108,206.7,1.48,0.28,44.1,13.49,18.17,58.3,26.8,24.8,0.1694,0.11,0.0492,1.568,0.0157,0.0238,44.8,Good,0
96,1136.0,1202,177.0,0.63,0.3,29.3,14.12,16.03,63.7,28.7,26.5,0.1247,0.0978,0.0782,1.523,0.014,0.0,35.1,Good,0
97,1150.4,1341,235.3,1.9,0.34,51.0,13.47,20.04,60.1,27.1,26.6,0.2207,0.1165,0.1275,1.306,0.0229,0.0369,42.3,Good,0
98,1161.8,1471,158.0,1.24,0.37,36.0,14.67,17.82,57.1,28.1,25.8,0.246,0.053,0.1068,1.375,0.0145,0.026,39.2,Good,0
99,1170.4,1153,163.2,1.72,0.29,40.5,12.91,18.19,59.2,26.3,24.5,0.2032,0.1276,0.0793,1.446,0.0149,0.0173,45.1,Good,0
100,1181.9,1385,151.4,1.43,0.35,38.7,13.87,17.77,56.4,25.8,28.3,0.1189,0.1291,0.0792,1.19,0.0135,0.0318,40.6,Good,0
101,1191.7,1209,119.1,1.88,0.3,39.3,13.06,17.31,59.1,26.9,29.1,0.2053,0.1381,0.0786,1.149,0.0051,0.0152,41.6,Good,0
102,1203.3,1259,149.2,1.06,0.32,34.3,13.72,17.12,56.1,29.8,27.5,0.3276,0.17,0.1004,1.414,0.0046,0.0385,42.1,Good,0
103,1217.8,1351,186.1,1.58,0.34,21.5,14.21,17.23,58.8,26.8,24.3,0.1094,0.1058,0.0792,1.29,0.0049,0.0464,44.2,Good,0
104,1229.6,962,171.3,1.51,0.24,35.7,12.12,17.7,61.6,27.2,31.6,0.1762,0.1007,0.1014,1.334,0.0026,0.0347,39.6,Good,0
105,1242.9,1220,176.4,1.55,0.31,38.6,12.56,18.11,62.0,28.4,26.5,0.1387,0.1192,0.1095,1.404,0.0119,0.0446,38.2,Good,0
106,1253.1,1017,154.1,1.35,0.26,41.1,13.05,19.63,54.5,26.5,25.5,0.0461,0.1229,0.1318,1.598,0.0231,0.0366,40.9,Good,0
107,1266.6,1135,208.3,1.73,0.29,41.3,11.96,19.76,57.6,30.5,26.5,0.2048,0.1423,0.1025,0.974,0.0086,0.0192,46.4,Good,0
108,1281.1,1238,169.2,1.46,0.31,29.9,14.04,16.86,56.2,24.0,27.5,0.1175,0.207,0.1602,1.617,0.014,0.0153,42.9,Good,0
109,1295.8,1637,259.4,1.2,0.41,35.8,13.67,17.33,61.0,27.8,29.4,0.1572,0.1203,0.1235,1.121,0.0112,0.0082,41.7,Good,0
110,1309.7,1324,165.2,1.06,0.33,40.3,13.0,18.4,62.5,25.2,29.6,0.1071,0.1203,0.0808,1.401,0.0065,0.0211,40.2,Good,0
111,1323.5,1410,171.0,1.26,0.35,35.3,13.21,17.31,59.8,31.8,27.8,0.2499,0.0999,0.0928,1.122,0.0165,0.0226,39.2,Good,0
112,1337.4,1227,226.7,1.97,0.31,35.5,13.4,19.62,60.1,30.4,27.2,0.1587,0.2288,0.1446,1.448,0.0042,0.0,42.6,Good,0
113,1350.1,1314,118.3,1.64,0.33,37.2,14.07,16.78,62.4,22.4,24.6,0.1915,0.18,0.1152,1.413,0.0108,0.0273,38.8,Good,0
114,1364.1,1204,166.7,1.13,0.3,42.0,13.41,16.29,57.4,30.0,28.4,0.2132,0.1273,0.1324,1.279,0.0031,0.0224,37.7,Good,0
115,1375.4,1256,183.4,2.27,0.32,27.3,13.26,17.35,55.3,27.4,27.5,0.1994,0.1453,0.1051,1.22,0.0172,0.0152,39.6,Good,0
116,1389.7,1076,223.9,2.26,0.27,53.4,13.61,19.34,63.6,29.9,26.4,0.1818,0.1103,0.0763,0.958,0.002,0.0163,51.5,Good,0
117,1401.1,980,236.2,0.95,0.25,40.0,11.98,19.26,62.8,25.8,24.6,0.1703,0.1373,0.1157,1.158,0.0103,0.0158,42.3,Good,0
118,1411.6,1190,195.9,1.67,0.3,43.1,14.27,20.13,62.4,27.5,28.9,0.9544,0.5728,0.5554,4.724,0.1025,0.0012,37.4,Good,2
119,1423.7,1271,205.7,1.72,0.32,40.2,13.43,18.52,62.3,26.1,25.1,0.188,0.1379,0.0654,1.244,0.0087,0.0134,49.1,Good,0
120,1434.0,1003,142.9,1.33,0.25,41.3,13.77,18.2,61.5,33.1,25.8,0.1602,0.1796,0.0508,0.856,0.0066,0.0367,42.7,Good,0
121,1443.7,1003,218.8,1.35,0.25,37.5,11.96,16.64,60.1,26.5,27.6,0.1475,0.0508,0.0987,1.069,0.0,0.0,39.0,Good,0
122,1455.2,1125,163.4,1.16,0.28,24.4,13.0,17.67,57.3,24.6,26.0,0.1125,0.1857,0.0484,1.174,0.0063,0.0231,41.3,Good,0
123,1463.8,1226,136.4,1.15,0.31,44.1,11.52,17.94,60.1,27.9,29.4,0.1146,0.1138,0.061,1.626,0.014,0.0765,41.6,Good,0
124,1474.5,1228,140.4,1.13,0.31,35.0,13.94,17.73,61.9,26.7,27.4,0.1235,0.1249,0.0471,1.31,0.0204,0.0308,44.2,Good,0
125,1484.7,1115,232.0,2.08,0.28,45.3,13.5,20.11,62.7,29.4,26.6,0.1536,0.1344,0.0697,0.91,0.0103,0.0037,39.6,Good,0
126,1492.9,1125,166.9,1.17,0.28,30.7,12.76,17.43,58.1,27.0,29.0,0.1723,0.1995,0.0478,1.091,0.013,0.0181,41.5,Good,0
127,1505.1,1047,154.3,1.05,0.26,47.6,12.37,18.86,60.3,27.6,28.2,0.1592,0.0752,0.0758,0.892,0.0084,0.0,42.8,Good,0
128,1515.8,1284,219.2,1.3,0.32,24.2,13.72,17.71,61.1,29.1,27.1,0.2313,0.0255,0.055,1.343,0.0102,0.0477,42.6,Good,0
129,1528.6,952,209.0,1.33,0.24,35.2,12.16,16.27,60.1,28.3,24.5,0.1987,0.1329,0.0988,1.448,0.0098,0.0556,37.3,Good,0
130,1539.2,1219,172.1,1.4,0.31,25.1,15.16,15.71,60.7,28.9,25.0,0.2664,0.1174,0.0945,1.288,0.006,0.0319,47.9,Good,0
131,1551.3,1060,218.1,1.34,0.27,31.4,12.92,16.7,58.6,27.5,25.4,0.1693,0.1986,0.1351,1.425,0.0092,0.0315,42.0,Good,0
132,1559.9,1456,167.8,2.59,0.37,22.8,13.04,17.02,56.3,25.4,27.2,0.1739,0.1611,0.0494,1.193,0.0092,0.0299,43.7,Good,0
133,1574.1,1351,199.9,1.33,0.34,53.5,13.07,19.87,65.1,33.0,25.4,0.237,0.1392,0.0964,2.339,0.1274,0.0,45.1,Good,3
134,1583.6,1167,235.9,1.22,0.29,44.0,13.01,19.13,56.4,30.8,29.8,0.1783,0.1205,0.1095,1.09,0.0123,0.0022,41.5,Good,0
135,1596.4,1347,212.0,2.0,0.34,50.6,13.64,19.08,61.9,27.5,25.6,0.1364,0.0683,0.1241,1.618,0.0134,0.0191,42.3,Good,0
136,1605.3,1234,224.8,2.12,0.31,35.7,13.66,18.37,58.6,26.4,30.8,0.2361,0.1723,0.0903,0.665,0.0168,0.048,41.1,Good,0
137,1620.3,1315,208.8,2.08,0.33,35.6,14.11,18.54,59.3,30.7,29.0,0.1384,0.099,0.1154,1.347,0.0035,0.0,41.4,Good,0
138,1629.3,1189,192.4,0.99,0.3,31.4,12.35,15.99,59.4,28.0,25.3,0.2806,0.1487,0.1236,0.928,0.0077,0.0,41.0,Good,0
139,1638.1,999,180.1,0.41,0.25,31.1,11.73,16.06,54.4,31.3,26.0,0.1986,0.1216,0.0893,1.364,0.0092,0.0706,43.9,Good,0
140,1646.5,1244,145.4,1.17,0.31,28.2,12.66,16.13,63.3,29.1,30.5,0.1315,0.111,0.0522,1.397,0.007,0.0,37.7,Good,0
141,1659.2,1413,198.8,1.4,0.36,20,13.17,16.21,55.7,30.3,29.1,0.171,0.0972,0.1249,1.335,0.0083,0.0324,41.4,Good,0
142,1672.7,1183,162.2,1.99,0.3,45.0,13.25,20.62,69.6,33.3,26.6,0.1346,0.1305,0.0512,2.421,0.1284,0.0198,42.3,Good,3
143,1683.3,1198,194.0,0.93,0.3,29.3,14.07,18.21,60.9,31.6,25.3,0.2636,0.3189,0.3086,5.945,0.0808,0.0281,39.3,Good,2
144,1693.6,993,204.1,1.48,0.25,38.2,10.86,18.55,58.6,26.4,27.4,0.205,0.0905,0.0864,1.437,0.0152,0.0086,42.0,Good,0
145,1703.0,1082,170.0,1.18,0.27,28.8,11.91,16.83,59.7,26.8,27.8,0.1255,0.1829,0.1428,1.058,0.0171,0.0056,36.9,Good,0
146,1711.0,1040,131.3,1.47,0.26,31.3,12.5,18.8,62.9,29.9,25.5,0.1653,0.0832,0.1025,1.198,0.0184,0.0109,42.0,Good,0
147,1719.6,1386,221.3,1.96,0.35,39.7,14.83,18.22,55.9,27.3,28.4,0.21,0.1322,0.0974,1.456,0.0064,0.0,38.1,Good,0
148,1728.7,1286,208.9,1.09,0.32,40.5,13.44,17.53,55.0,27.8,26.5,0.2029,0.0894,0.109,1.28,0.0141,0.039,43.8,Good,0
149,1739.2,975,176.2,1.42,0.25,59.4,13.26,20.24,57.3,31.8,27.3,0.2063,0.1177,0.1029,1.387,0.0123,0.0459,40.1,Good,0
150,1751.6,1078,148.7,1.46,0.27,49.6,13.76,19.31,56.9,30.1,27.6,0.2122,0.1655,0.1031,1.312,0.0192,0.0333,39.8,Good,0
151,1759.8,1162,163.1,1.56,0.29,40.0,14.16,18.82,61.6,29.5,27.6,0.706,0.4909,0.411,6.63,0.0804,0.0185,39.8,Good,2
152,1772.3,1286,129.4,2.2,0.32,34.1,13.57,17.92,62.5,28.8,31.2,0.1831,0.1063,0.1268,1.474,0.0056,0.0105,42.0,Good,0
153,1785.6,1605,179.8,1.97,0.4,41.9,14.51,19.63,57.0,25.7,30.0,0.1975,0.0994,0.0446,1.726,0.0147,0.0228,39.3,Good,0
154,1798.5,1231,176.3,1.2,0.31,20,12.4,15.59,63.2,29.2,27.8,0.1919,0.168,0.1571,1.084,0.0144,0.0031,42.1,Good,0
155,1807.9,1363,214.8,2.17,0.34,27.5,12.58,19.18,54.6,24.7,30.4,0.1617,0.1313,0.0848,1.322,0.0127,0.0251,43.9,Good,0
156,1817.0,1452,163.2,2.06,0.36,32.2,13.59,17.03,59.8,26.9,29.9,0.2363,0.1664,0.1594,1.939,0.0134,0.0513,40.4,Good,0
157,1827.8,1588,177.2,2.03,0.4,37.2,14.32,18.13,59.1,29.2,26.9,0.1962,0.1086,0.0791,1.108,0.0162,0.0734,38.9,Good,0
158,1842.0,1089,187.8,1.5,0.27,38.0,11.81,20.73,57.0,26.2,28.7,0.7907,0.5152,0.4151,5.382,0.0742,0.0271,39.1,Good,2
159,1854.8,1231,190.0,1.69,0.31,29.5,13.85,15.27,58.1,30.2,28.5,0.1366,0.0899,0.1603,1.78,0.0046,0.007,43.5,Good,0
160,1863.9,1267,168.8,1.72,0.32,38.2,13.86,18.06,61.0,24.6,25.3,0.2069,0.1511,0.0675,1.677,0.0116,0.0392,43.7,Good,0
161,1876.6,1119,168.2,1.74,0.28,35.8,13.33,17.56,58.4,26.8,26.6,0.2161,0.0947,0.0679,1.377,0.0067,0.0259,43.2,Good,0
162,1887.8,1218,203.5,2.12,0.31,40.0,13.25,16.88,58.0,28.9,25.1,0.0821,0.1022,0.0288,1.18,0.0178,0.024,43.3,Good,0
163,1899.2,1485,210.8,1.39,0.37,25.8,14.46,18.31,68.6,31.6,26.4,0.2168,0.1499,0.122,1.11,0.019,0.0575,42.6,Good,0
164,1914.1,1002,139.2,1.46,0.25,52.6,13.04,17.14,60.6,28.6,24.3,0.1284,0.1141,0.0754,1.257,0.0099,0.0349,43.4,Good,0
165,1926.2,1219,109.0,1.96,0.31,30.3,13.56,15.52,60.2,29.6,27.4,0.2224,0.1631,0.0871,1.447,0.0079,0.0419,41.8,Good,0
